track_name,artist,album,release_date,duration_ms,popularity,spotify_url
Welcome To New York (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,212600,69,https://open.spotify.com/track/1hR8BSuEqPCCZfv93zzzz9
Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,231833,77,https://open.spotify.com/track/45wMBGri1PORPjM9PwFfrS
Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,231000,77,https://open.spotify.com/track/1hjRhYpWyqDpPahmSlUTlc
Out Of The Woods (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,235800,71,https://open.spotify.com/track/045ZeOHPIzhxxsm8bq5kyE
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,193289,67,https://open.spotify.com/track/6GXgd1BPD9bUpqw5AntGV5
Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,219209,72,https://open.spotify.com/track/3pv7Q5v2dpdefwdWIvE7yH
I Wish You Would (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,207650,66,https://open.spotify.com/track/43y1WpBdnEy5TR9aZoSQL9
Bad Blood (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,211103,67,https://open.spotify.com/track/64FzgoLZ3oXu2SriZblHic
Wildest Dreams (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,220433,75,https://open.spotify.com/track/1K39ty6o1sHwwlZwO6a7wK
How You Get The Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,247533,65,https://open.spotify.com/track/75W3SngKzTuoQ94uLf3y82
This Love (Taylor’s Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,250100,68,https://open.spotify.com/track/5QVVjX0ZItqlVpEuVCM9Yg
I Know Places (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,195700,64,https://open.spotify.com/track/2f0GI2ZLUtbGqFx8t2Gk6A
Clean (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,271000,69,https://open.spotify.com/track/2ByBBvpR9b7IynvRmnG7kG
Wonderland (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,245566,65,https://open.spotify.com/track/2ve0kuaWUCt4Zx8x4bf1MR
You Are In Love (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,267389,70,https://open.spotify.com/track/4UwqOWDpdeIDVQDuKT6iza
New Romantics (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,230177,72,https://open.spotify.com/track/2vPMoMDXxu9uX1igWZmXSG
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),2023-10-26,180381,75,https://open.spotify.com/track/71BqAINEnezjQfxE4VuJfq
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,279833,72,https://open.spotify.com/track/4NioO5R9sHEZh4cGzMHyNt
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,146436,75,https://open.spotify.com/track/5KD6AEm19QnMbfWpfoOHMl
Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,171818,66,https://open.spotify.com/track/6T0sEnqjmHISIKwFETeeiP
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,229477,76,https://open.spotify.com/track/1Iq8oo9XkmmvCQiGOfORiz
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023-10-27,199773,73,https://open.spotify.com/track/6qAcApH8obo8eqatCKUHd9
Cruel Summer - Live from TS | The Eras Tour,Taylor Swift,The Cruelest Summer,2023-10-19,229566,57,https://open.spotify.com/track/6ClYMObS7f3Nn4AiZHYQt3
Cruel Summer,Taylor Swift,Lover,2019-08-23,178426,89,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
Cruel Summer - LP Giobbi Remix,Taylor Swift,The Cruelest Summer,2023-10-19,192900,63,https://open.spotify.com/track/0pjBqAz8GlxGlpaU4W0DxS
Mine (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,231706,72,https://open.spotify.com/track/7G0gBu6nLdhFDPRLc0HdDG
Sparks Fly (Taylor’s Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,261230,70,https://open.spotify.com/track/3MytWN8L7shNYzGl4tAKRp
Back To December (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,294189,73,https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2
Speak Now (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,242473,67,https://open.spotify.com/track/5xXqyjLicvEpch72qEryFT
Dear John (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,405906,67,https://open.spotify.com/track/1zU8j1x3yi9xalMF96pzKp
Mean (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,238693,67,https://open.spotify.com/track/30Y4CV7A6YqtQtTTo7Ue4j
The Story Of Us (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,267653,68,https://open.spotify.com/track/6dTA6y0C2ReQklntzZl8l3
Never Grow Up (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,292920,64,https://open.spotify.com/track/2EFZ9emtKWEglWUQGEQ3P9
